actual_mw,delivery_date_local,error_mw,forecast_mw,forecast_origin_local,forecast_origin_utc,horizon_h,is_duplicate_target_timestamp_in_p0056m_day,is_missing_local_hour_expected_by_DST,local_hour,p0056k_duplicate_utc_for_delivery_day,p0056k_forced_shifted_position,p0056k_mapping_positions,target_timestamp_local,target_timestamp_utc
1462.0,2026-03-25,146.13941392977836,1608.1394139297784,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,13,False,False,0,False,False,0,2026-03-25T00:00:00+01:00,2026-03-24T23:00:00Z
1414.75,2026-03-25,202.72662770687566,1617.4766277068757,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,14,False,False,1,False,False,1,2026-03-25T01:00:00+01:00,2026-03-25T00:00:00Z
1424.25,2026-03-25,206.40220742815814,1630.6522074281581,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,15,False,False,2,False,False,2,2026-03-25T02:00:00+01:00,2026-03-25T01:00:00Z
1299.25,2026-03-25,345.2746428389205,1644.5246428389205,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,16,False,False,3,False,False,3,2026-03-25T03:00:00+01:00,2026-03-25T02:00:00Z
1231.75,2026-03-25,443.1424789086718,1674.8924789086718,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,17,False,False,4,False,False,4,2026-03-25T04:00:00+01:00,2026-03-25T03:00:00Z
1680.5,2026-03-25,44.32713516410331,1724.8271351641033,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,18,False,False,5,False,False,5,2026-03-25T05:00:00+01:00,2026-03-25T04:00:00Z
1759.75,2026-03-25,36.233386872985875,1795.9833868729859,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,19,False,False,6,False,False,6,2026-03-25T06:00:00+01:00,2026-03-25T05:00:00Z
1833.0,2026-03-25,7.136129228439586,1840.1361292284396,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,20,False,False,7,False,False,7,2026-03-25T07:00:00+01:00,2026-03-25T06:00:00Z
1829.5,2026-03-25,-6.000579853489853,1823.4994201465101,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,21,False,False,8,False,False,8,2026-03-25T08:00:00+01:00,2026-03-25T07:00:00Z
1929.25,2026-03-25,-105.37107727014018,1823.8789227298598,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,22,False,False,9,False,False,9,2026-03-25T09:00:00+01:00,2026-03-25T08:00:00Z
2035.5,2026-03-25,-234.40219734589368,1801.0978026541063,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,23,False,False,10,False,False,10,2026-03-25T10:00:00+01:00,2026-03-25T09:00:00Z
1752.5,2026-03-25,43.083665828509766,1795.5836658285098,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,24,False,False,11,False,False,11,2026-03-25T11:00:00+01:00,2026-03-25T10:00:00Z
1710.5,2026-03-25,72.82544740061417,1783.3254474006142,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,25,False,False,12,False,False,12,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z
1670.75,2026-03-25,112.62963961959667,1783.3796396195967,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,26,False,False,13,False,False,13,2026-03-25T13:00:00+01:00,2026-03-25T12:00:00Z
1593.5,2026-03-25,197.11571434077723,1790.6157143407772,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,27,False,False,14,False,False,14,2026-03-25T14:00:00+01:00,2026-03-25T13:00:00Z
1904.5,2026-03-25,-94.74598875083325,1809.7540112491668,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,28,False,False,15,False,False,15,2026-03-25T15:00:00+01:00,2026-03-25T14:00:00Z
2050.75,2026-03-25,-205.2466991125516,1845.5033008874484,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,29,False,False,16,False,False,16,2026-03-25T16:00:00+01:00,2026-03-25T15:00:00Z
2131.0,2026-03-25,-287.0515225567208,1843.9484774432792,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,30,False,False,17,False,False,17,2026-03-25T17:00:00+01:00,2026-03-25T16:00:00Z
2114.0,2026-03-25,-291.8893159499785,1822.1106840500215,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,31,False,False,18,False,False,18,2026-03-25T18:00:00+01:00,2026-03-25T17:00:00Z
2135.75,2026-03-25,-322.47248297821034,1813.2775170217897,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,32,False,False,19,False,False,19,2026-03-25T19:00:00+01:00,2026-03-25T18:00:00Z
2093.0,2026-03-25,-296.9560984337222,1796.0439015662778,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,33,False,False,20,False,False,20,2026-03-25T20:00:00+01:00,2026-03-25T19:00:00Z
2243.75,2026-03-25,-486.74859194939336,1757.0014080506066,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,34,False,False,21,False,False,21,2026-03-25T21:00:00+01:00,2026-03-25T20:00:00Z
2207.5,2026-03-25,-458.564278147471,1748.935721852529,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,35,False,False,22,False,False,22,2026-03-25T22:00:00+01:00,2026-03-25T21:00:00Z
2359.75,2026-03-25,-630.614978614431,1729.135021385569,2026-03-24T12:00:00+01:00,2026-03-24T11:00:00Z,36,False,False,23,False,False,23,2026-03-25T23:00:00+01:00,2026-03-25T22:00:00Z
2398.0,2026-03-26,-778.3838089201358,1619.6161910798642,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,13,False,False,0,False,False,0,2026-03-26T00:00:00+01:00,2026-03-25T23:00:00Z
2336.5,2026-03-26,-717.0442978914116,1619.4557021085884,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,14,False,False,1,False,False,1,2026-03-26T01:00:00+01:00,2026-03-26T00:00:00Z
2349.0,2026-03-26,-728.6811533355269,1620.318846664473,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,15,False,False,2,False,False,2,2026-03-26T02:00:00+01:00,2026-03-26T01:00:00Z
2555.25,2026-03-26,-923.139812391825,1632.110187608175,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,16,False,False,3,False,False,3,2026-03-26T03:00:00+01:00,2026-03-26T02:00:00Z
2816.0,2026-03-26,-1149.3761105784054,1666.6238894215946,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,17,False,False,4,False,False,4,2026-03-26T04:00:00+01:00,2026-03-26T03:00:00Z
2774.25,2026-03-26,-1061.5678503053657,1712.6821496946343,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,18,False,False,5,False,False,5,2026-03-26T05:00:00+01:00,2026-03-26T04:00:00Z
2141.25,2026-03-26,-370.1885571058092,1771.0614428941908,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,19,False,False,6,False,False,6,2026-03-26T06:00:00+01:00,2026-03-26T05:00:00Z
1920.5,2026-03-26,-102.74580996865734,1817.7541900313427,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,20,False,False,7,False,False,7,2026-03-26T07:00:00+01:00,2026-03-26T06:00:00Z
2275.0,2026-03-26,-461.4983500565845,1813.5016499434155,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,21,False,False,8,False,False,8,2026-03-26T08:00:00+01:00,2026-03-26T07:00:00Z
2303.25,2026-03-26,-506.46773078971455,1796.7822692102854,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,22,False,False,9,False,False,9,2026-03-26T09:00:00+01:00,2026-03-26T08:00:00Z
2164.75,2026-03-26,-394.6490000102044,1770.1009999897956,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,23,False,False,10,False,False,10,2026-03-26T10:00:00+01:00,2026-03-26T09:00:00Z
2088.5,2026-03-26,-339.9195848650761,1748.580415134924,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,24,False,False,11,False,False,11,2026-03-26T11:00:00+01:00,2026-03-26T10:00:00Z
1890.25,2026-03-26,-155.38900762367712,1734.8609923763229,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,25,False,False,12,False,False,12,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z
1870.5,2026-03-26,-153.392342251655,1717.107657748345,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,26,False,False,13,False,False,13,2026-03-26T13:00:00+01:00,2026-03-26T12:00:00Z
1725.5,2026-03-26,19.373257898359498,1744.8732578983595,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,27,False,False,14,False,False,14,2026-03-26T14:00:00+01:00,2026-03-26T13:00:00Z
1814.25,2026-03-26,-35.19645408473093,1779.053545915269,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,28,False,False,15,False,False,15,2026-03-26T15:00:00+01:00,2026-03-26T14:00:00Z
1882.0,2026-03-26,-86.77560157561811,1795.224398424382,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,29,False,False,16,False,False,16,2026-03-26T16:00:00+01:00,2026-03-26T15:00:00Z
2171.0,2026-03-26,-359.73900677805887,1811.2609932219411,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,30,False,False,17,False,False,17,2026-03-26T17:00:00+01:00,2026-03-26T16:00:00Z
2650.5,2026-03-26,-873.4724444782496,1777.0275555217504,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,31,False,False,18,False,False,18,2026-03-26T18:00:00+01:00,2026-03-26T17:00:00Z
2270.0,2026-03-26,-512.405547089646,1757.594452910354,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,32,False,False,19,False,False,19,2026-03-26T19:00:00+01:00,2026-03-26T18:00:00Z
2226.5,2026-03-26,-490.3595918806477,1736.1404081193523,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,33,False,False,20,False,False,20,2026-03-26T20:00:00+01:00,2026-03-26T19:00:00Z
2399.25,2026-03-26,-691.5251864466854,1707.7248135533146,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,34,False,False,21,False,False,21,2026-03-26T21:00:00+01:00,2026-03-26T20:00:00Z
2383.0,2026-03-26,-708.8026498951294,1674.1973501048706,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,35,False,False,22,False,False,22,2026-03-26T22:00:00+01:00,2026-03-26T21:00:00Z
1973.0,2026-03-26,-316.5823035279034,1656.4176964720966,2026-03-25T12:00:00+01:00,2026-03-25T11:00:00Z,36,False,False,23,False,False,23,2026-03-26T23:00:00+01:00,2026-03-26T22:00:00Z
1970.25,2026-03-27,-180.97527633757772,1789.2747236624223,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,13,False,False,0,False,False,0,2026-03-27T00:00:00+01:00,2026-03-26T23:00:00Z
1937.6666666666667,2026-03-27,-155.6999868052269,1781.9666798614398,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,14,False,False,1,False,False,1,2026-03-27T01:00:00+01:00,2026-03-27T00:00:00Z
2084.5,2026-03-27,-312.1277908525137,1772.3722091474863,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,15,False,False,2,False,False,2,2026-03-27T02:00:00+01:00,2026-03-27T01:00:00Z
2262.0,2026-03-27,-469.52787447647006,1792.47212552353,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,16,False,False,3,False,False,3,2026-03-27T03:00:00+01:00,2026-03-27T02:00:00Z
1948.5,2026-03-27,-107.96754862110902,1840.532451378891,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,17,False,False,4,False,False,4,2026-03-27T04:00:00+01:00,2026-03-27T03:00:00Z
1992.5,2026-03-27,-117.35706440177273,1875.1429355982273,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,18,False,False,5,False,False,5,2026-03-27T05:00:00+01:00,2026-03-27T04:00:00Z
2104.25,2026-03-27,-174.82631897407873,1929.4236810259213,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,19,False,False,6,False,False,6,2026-03-27T06:00:00+01:00,2026-03-27T05:00:00Z
2166.5,2026-03-27,-194.6219002933717,1971.8780997066283,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,20,False,False,7,False,False,7,2026-03-27T07:00:00+01:00,2026-03-27T06:00:00Z
2314.5,2026-03-27,-339.4029439330477,1975.0970560669523,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,21,False,False,8,False,False,8,2026-03-27T08:00:00+01:00,2026-03-27T07:00:00Z
2082.25,2026-03-27,-123.63941862229672,1958.6105813777033,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,22,False,False,9,False,False,9,2026-03-27T09:00:00+01:00,2026-03-27T08:00:00Z
1946.75,2026-03-27,-41.67856962492465,1905.0714303750754,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,23,False,False,10,False,False,10,2026-03-27T10:00:00+01:00,2026-03-27T09:00:00Z
1667.5,2026-03-27,153.39353593744067,1820.8935359374407,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,24,False,False,11,False,False,11,2026-03-27T11:00:00+01:00,2026-03-27T10:00:00Z
1333.5,2026-03-27,474.41301495661355,1807.9130149566136,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,25,False,False,12,False,False,12,2026-03-27T12:00:00+01:00,2026-03-27T11:00:00Z
1317.75,2026-03-27,480.31546086310914,1798.0654608631091,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,26,False,False,13,False,False,13,2026-03-27T13:00:00+01:00,2026-03-27T12:00:00Z
1530.0,2026-03-27,290.4456344612354,1820.4456344612354,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,27,False,False,14,False,False,14,2026-03-27T14:00:00+01:00,2026-03-27T13:00:00Z
1483.75,2026-03-27,386.2772592055853,1870.0272592055853,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,28,False,False,15,False,False,15,2026-03-27T15:00:00+01:00,2026-03-27T14:00:00Z
1800.75,2026-03-27,105.09929690890931,1905.8492969089093,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,29,False,False,16,False,False,16,2026-03-27T16:00:00+01:00,2026-03-27T15:00:00Z
2069.25,2026-03-27,-103.04901789994801,1966.200982100052,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,30,False,False,17,False,False,17,2026-03-27T17:00:00+01:00,2026-03-27T16:00:00Z
1774.75,2026-03-27,169.55895498305404,1944.308954983054,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,31,False,False,18,False,False,18,2026-03-27T18:00:00+01:00,2026-03-27T17:00:00Z
1378.0,2026-03-27,553.8642358687314,1931.8642358687314,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,32,False,False,19,False,False,19,2026-03-27T19:00:00+01:00,2026-03-27T18:00:00Z
1490.0,2026-03-27,417.8424909619548,1907.8424909619548,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,33,False,False,20,False,False,20,2026-03-27T20:00:00+01:00,2026-03-27T19:00:00Z
1805.5,2026-03-27,88.17566165235712,1893.6756616523571,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,34,False,False,21,False,False,21,2026-03-27T21:00:00+01:00,2026-03-27T20:00:00Z
1824.0,2026-03-27,-10.282327952731066,1813.717672047269,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,35,False,False,22,False,False,22,2026-03-27T22:00:00+01:00,2026-03-27T21:00:00Z
1625.75,2026-03-27,164.6604605648581,1790.410460564858,2026-03-26T12:00:00+01:00,2026-03-26T11:00:00Z,36,False,False,23,False,False,23,2026-03-27T23:00:00+01:00,2026-03-27T22:00:00Z
2107.3333333333335,2026-03-28,-399.22851665741405,1708.1048166759194,2026-03-27T12:00:00+01:00,2026-03-27T11:00:00Z,13,False,False,0,False,False,0,2026-03-28T00:00:00+01:00,2026-03-27T23:00:00Z
2182.0,2026-03-28,-449.1110105309599,1732.88898946904,2026-03-27T12:00:00+01:00,2026-03-27T11:00:00Z,14,False,False,1,False,False,1,2026-03-28T01:00:00+01:00,2026-03-28T00:00:00Z
2100.0,2026-03-28,-364.3126935134078,1735.6873064865922,2026-03-27T12:00:00+01:00,2026-03-27T11:00:00Z,15,False,False,2,False,False,2,2026-03-28T02:00:00+01:00,2026-03-28T01:00:00Z
1771.5,2026-03-28,-19.004121469637766,1752.4958785303622,2026-03-27T12:00:00+01:00,2026-03-27T11:00:00Z,16,False,False,3,False,False,3,2026-03-28T03:00:00+01:00,2026-03-28T02:00:00Z
1494.0,2026-03-28,257.3527541513863,1751.3527541513863,2026-03-27T12:00:00+01:00,2026-03-27T11:00:00Z,17,False,False,4,False,False,4,2026-03-28T04:00:00+01:00,2026-03-28T03:00:00Z
6902.5,2026-03-28,-5130.276256329536,1772.223743670464,2026-03-27T12:00:00+01:00,2026-03-27T11:00:00Z,18,False,False,5,False,False,5,2026-03-28T05:00:00+01:00,2026-03-28T04:00:00Z
7159.0,2026-03-28,-5348.988825350804,1810.011174649196,2026-03-27T12:00:00+01:00,2026-03-27T11:00:00Z,19,False,False,6,False,False,6,2026-03-28T06:00:00+01:00,2026-03-28T05:00:00Z
7279.0,2026-03-28,-5459.048777025726,1819.9512229742738,2026-03-27T12:00:00+01:00,2026-03-27T11:00:00Z,20,False,False,7,False,False,7,2026-03-28T07:00:00+01:00,2026-03-28T06:00:00Z
7082.0,2026-03-28,-5231.950124332263,1850.0498756677375,2026-03-27T12:00:00+01:00,2026-03-27T11:00:00Z,21,False,False,8,False,False,8,2026-03-28T08:00:00+01:00,2026-03-28T07:00:00Z
6681.0,2026-03-28,-4812.599741695542,1868.4002583044576,2026-03-27T12:00:00+01:00,2026-03-27T11:00:00Z,22,False,False,9,False,False,9,2026-03-28T09:00:00+01:00,2026-03-28T08:00:00Z
6228.0,2026-03-28,-4384.544175268573,1843.4558247314274,2026-03-27T12:00:00+01:00,2026-03-27T11:00:00Z,23,False,False,10,False,False,10,2026-03-28T10:00:00+01:00,2026-03-28T09:00:00Z
